City/Town,Democratic,Republican,All Others,Blanks,
Abington,"1,938","1,950",0,277,
Acton,"2,944","2,627",0,361,
Acushnet,"2,142","1,544",0,199,
Adams,"2,425",957,1,214,
Agawam,"3,401","2,530",0,711,
Alford,52,75,0,9,
Amesbury,"1,824","1,393",0,240,
Amherst,"3,994","1,780",3,898,
Andover,"5,042","4,418",0,222,
Aquinnah,63,24,0,12,
Arlington,"11,512","7,674",8,"1,127",
Ashburnham,726,576,0,61,
Ashby,368,346,0,26,
Ashfield,308,241,0,49,
Ashland,"1,553","1,540",0,235,
Athol,"1,311","1,425",0,126,
Attleboro,"3,864","4,202",0,730,
Auburn,"2,626","2,193",0,360,
Avon,838,720,0,111,
Ayer,778,593,0,60,
Barnstable,"5,816","7,816",0,979,
Barre,751,622,0,58,
Becket,148,134,0,26,
Bedford,"2,257","1,946",0,212,
Belchertown,"1,274",815,0,256,
Bellingham,"2,006","1,444",1,238,
Belmont,"5,372","5,161",0,875,
Berkley,346,472,0,50,
Berlin,345,393,0,37,
Bernardston,267,350,0,31,
Beverly,"5,320","6,273",0,809,
Billerica,"5,499","3,832",1,403,
Blackstone,"1,081",645,0,123,
Blandford,114,223,0,16,
Bolton,438,596,0,58,
Boston,"70,483","45,268",4,"16,404",
Bourne,"2,089","2,429",0,340,
Boxborough,423,420,0,35,
Boxford,660,"1,401",0,69,
Boylston,509,693,0,48,
Braintree,"6,092","5,922",0,543,
Brewster,"1,190","1,667",0,197,
Bridgewater,"2,045","2,163",3,488,
Brimfield,342,331,0,31,
Brockton,"10,611","8,737",1,"1,271",
Brookfield,350,424,0,38,
Brookline,"10,520","6,245",0,"1,661",
Buckland,291,294,0,43,
Burlington,"4,004","3,464",0,553,
Cambridge,"20,569","7,095",5,"2,924",
Canton,"3,432","3,433",0,310,
Carlisle,801,857,0,89,
Carver,"1,407","1,396",0,138,
Charlemont,147,181,0,31,
Charlton,892,855,0,84,
Chatham,"1,050","2,301",0,102,
Chelmsford,"5,546","5,069",1,380,
Chelsea,"4,297","1,783",0,529,
Cheshire,647,399,0,78,
Chester,166,144,0,19,
Chesterfield,129,139,0,19,
Chicopee,"11,454","5,015",1,797,
Chilmark,207,153,0,42,
Clarksburg,350,183,0,47,
Clinton,"2,280","1,444",0,168,
Cohasset,"1,058","1,611",0,161,
Colrain,240,226,0,29,
Concord,"3,295","2,643",0,239,
Conway,284,205,0,47,
Cummington,104,132,0,8,
Dalton,"1,167","1,033",0,137,
Danvers,"3,560","4,543",1,553,
Dartmouth,"3,402","3,907",0,520,
Dedham,"3,877","4,722",2,582,
Deerfield,910,579,0,98,
Dennis,"2,196","3,157",0,447,
Dighton,636,894,0,95,
Douglas,697,573,0,62,
Dover,518,"1,572",0,90,
Dracut,"4,448","2,205",0,357,
Dudley,"1,262",850,0,179,
Dunstable,308,281,0,20,
Duxbury,"1,540","2,738",0,238,
E. Bridgewater,"1,144","1,363",0,192,
E. Brookfield,312,265,0,33,
E. Longmeadow,"1,927","1,986",0,368,
Eastham,790,"1,163",0,73,
Easthampton,"2,968","1,627",0,306,
Easton,"2,122","2,966",0,275,
Edgartown,548,599,0,120,
Egremont,174,226,0,41,
Erving,257,234,0,12,
Essex,425,628,0,46,
Everett,"6,155","4,348",0,"1,192",
Fairhaven,"2,830","2,962",0,497,
Fall River,"9,520","11,022",0,"2,479",
Falmouth,"4,912","4,969",2,555,
Fitchburg,"5,992","3,436",0,735,
Florida,138,81,0,25,
Foxborough,"2,008","2,309",0,200,
Framingham,"8,797","8,478",0,"1,048",
Franklin,"2,425","2,155",0,365,
Freetown,951,"1,162",0,97,
Gardner,"3,277","1,829",0,330,
Georgetown,933,"1,058",0,80,
Gill,280,178,0,29,
Gloucester,"3,906","3,653",0,480,
Goshen,108,112,0,18,
Gosnold,20,35,0,4,
Grafton,"1,752","1,619",1,193,
Granby,792,628,0,129,
Granville,124,242,0,29,
Great Barrington,920,772,0,303,
Greenfield,"3,068","2,166",0,394,
Groton,"1,117","1,025",0,89,
Groveland,862,773,0,64,
Hadley,"1,045",626,0,193,
Halifax,859,"1,019",0,89,
Hamilton,875,"1,537",0,129,
Hampden,620,672,0,76,
Hancock,82,107,0,25,
Hanover,"1,613","2,036",0,204,
Hanson,"1,046","1,169",0,185,
Hardwick,479,282,0,32,
Harvard,815,974,0,102,
Harwich,"1,590","2,465",0,357,
Hatfield,798,352,0,82,
Haverhill,"7,681","4,888",0,661,
Hawley,45,63,0,5,
Heath,103,87,0,11,
Hingham,"2,941","4,099",0,549,
Hinsdale,261,202,0,38,
Holbrook,"1,763","1,702",0,261,
Holden,"1,825","3,484",0,333,
Holland,262,197,0,20,
Holliston,"1,854","2,536",0,336,
Holyoke,"5,684","4,001",1,"1,280",
Hopedale,785,698,0,89,
Hopkinton,"1,159","1,501",0,119,
Hubbardston,290,323,0,37,
Hudson,"2,339","1,900",0,242,
Hull,"1,567","1,099",0,194,
Huntington,209,220,0,26,
Ipswich,"1,832","2,030",0,186,
Kingston,"1,228","1,271",2,159,
Lakeville,854,"1,214",0,107,
Lancaster,650,826,0,116,
Lanesborough,438,432,0,126,
Lawrence,"10,462","3,231",0,440,
Lee,731,646,0,226,
Leicester,"2,072","1,203",0,185,
Lenox,830,903,0,287,
Leominster,"5,437","3,554",2,500,
Leverett,402,191,0,54,
Lexington,"6,977","5,304",1,733,
Leyden,112,91,0,16,
Lincoln,"1,116","1,017",0,146,
Littleton,"1,383","1,147",0,75,
Longmeadow,"2,521","3,050",0,538,
Lowell,"12,386","5,511",1,"3,179",
Ludlow,"3,141","1,694",0,496,
Lunenburg,"1,281","1,450",0,176,
Lynn,"12,231","8,746",0,"2,013",
Lynnfield,"1,637","2,816",0,240,
Malden,"8,436","5,550",0,"1,629",
Manchester-by-the-Sea,751,"1,252",0,131,
Mansfield,"1,700","2,009",0,214,
Marblehead,"3,376","4,388",0,445,
Marion,576,"1,004",0,70,
Marlborough,"4,661","3,477",0,477,
Marshfield,"3,086","3,252",0,289,
Mashpee,842,953,0,71,
Mattapoisett,995,"1,438",0,107,
Maynard,"1,780","1,227",0,148,
Medfield,"1,477","2,403",0,174,
Medford,"11,187","7,654",0,"1,398",
Medway,"1,200","1,254",0,183,
Melrose,"5,184","5,563",0,868,
Mendon,483,503,0,75,
Merrimac,702,684,0,76,
Methuen,"9,165","3,715",0,926,
Middleborough,"1,968","2,203",0,229,
Middlefield,63,65,0,11,
Middleton,684,802,1,73,
Milford,"3,591","2,362",0,420,
Millbury,"2,228","1,323",0,179,
Millis,"1,043","1,143",0,125,
Millville,369,168,0,30,
Milton,"4,922","5,476",0,528,
Monroe,35,15,0,4,
Monson,"1,256",892,0,105,
Montague,"1,628",839,0,183,
Monterey,154,105,0,23,
Montgomery,89,123,0,10,
Mount Washington,14,26,0,6,
Nahant,737,803,0,92,
Nantucket,984,977,0,180,
Natick,"4,905","5,023",0,761,
Needham,"3,749","7,956",0,668,
New Ashford,51,44,0,7,
New Bedford,"14,335","10,159",1,"1,418",
New Braintree,117,141,0,29,
New Marlborough,142,216,0,32,
New Salem,126,156,0,12,
Newbury,836,"1,151",0,88,
Newburyport,"2,680","2,243",0,488,
Newton,"16,150","12,287",0,"2,285",
Norfolk,816,"1,191",0,100,
N. Adams,"3,310","1,264",0,379,
N. Andover,"3,869","3,285",0,167,
N. Attleborough,"2,329","2,841",0,425,
N. Brookfield,797,699,0,100,
N. Reading,"2,091","1,905",0,156,
Northampton,"5,604","2,820",4,710,
Northborough,"1,675","2,028",0,201,
Northbridge,"1,756","1,527",0,249,
Northfield,401,502,0,69,
Norton,"1,317","1,623",0,177,
Norwell,"1,284","1,860",0,176,
Norwood,"4,210","4,614",0,702,
Oak Bluffs,550,487,0,78,
Oakham,175,222,0,30,
Orange,947,938,0,62,
Orleans,955,"1,851",0,182,
Otis,102,127,0,26,
Oxford,"1,513","1,170",0,204,
Palmer,"2,029","1,148",0,302,
Paxton,566,880,0,58,
Peabody,"8,790","6,739",0,908,
Pelham,287,178,0,38,
Pembroke,"1,955","1,812",0,176,
Pepperell,"1,176","1,002",0,82,
Peru,83,110,0,14,
Petersham,196,228,0,33,
Phillipston,130,189,0,12,
Pittsfield,"7,469","5,880",0,"1,796",
Plainfield,80,76,0,15,
Plainville,729,927,0,135,
Plymouth,"5,694","5,593",0,"1,122",
Plympton,295,392,0,43,
Princeton,366,695,0,63,
Provincetown,873,375,0,97,
Quincy,"13,297","11,423",0,"1,871",
Randolph,"5,257","3,469",0,667,
Raynham,"1,301","1,596",0,204,
Reading,"3,659","4,304",0,451,
Rehoboth,902,"1,188",0,182,
Revere,"7,156","4,580",10,"1,305",
Richmond,239,303,0,45,
Rochester,526,747,0,55,
Rockland,"2,091","1,666",0,209,
Rockport,"1,306","1,513",0,141,
Rowe,53,99,0,5,
Rowley,554,740,0,68,
Royalston,157,133,0,15,
Russell,165,175,0,26,
Rutland,512,719,0,68,
Salem,"6,246","4,811",0,826,
Salisbury,931,769,0,113,
Sandisfield,84,60,0,6,
Sandwich,"1,697","2,642",0,184,
Saugus,"4,137","3,511",0,567,
Savoy,73,72,0,10,
Scituate,"2,749","3,235",0,260,
Seekonk,"1,738","1,622",0,255,
Sharon,"3,185","2,241",0,310,
Sheffield,336,529,0,71,
Shelburne,316,293,0,40,
Sherborn,551,"1,335",0,112,
Shirley,593,522,0,60,
Shrewsbury,"4,536","4,060",0,696,
Shutesbury,313,130,0,38,
Somerset,"2,868","3,370",0,263,
Somerville,"15,664","6,629",9,"1,488",
S. Hadley,"2,677","2,084",0,383,
Southampton,702,599,0,81,
Southborough,"1,033","1,295",0,90,
Southbridge,"2,327","1,500",0,374,
Southwick,942,836,0,84,
Spencer,"1,824","1,317",0,240,
Springfield,"17,957","10,459",0,"4,497",
Sterling,796,"1,034",1,126,
Stockbridge,452,369,1,106,
Stoneham,"3,800","3,287",0,447,
Stoughton,"3,815","3,365",0,621,
Stow,795,"1,013",0,101,
Sturbridge,858,819,0,119,
Sudbury,"2,277","2,624",0,370,
Sunderland,477,272,0,87,
Sutton,925,943,0,111,
Swampscott,"2,422","2,446",0,406,
Swansea,"1,959","2,222",0,326,
Taunton,"5,873","4,519",0,"1,456",
Templeton,944,651,0,76,
Tewksbury,"4,042","2,933",2,227,
Tisbury,598,495,0,86,
Tolland,35,46,0,5,
Topsfield,750,"1,437",0,79,
Townsend,"1,038",839,0,90,
Truro,382,321,0,39,
Tyngsborough,"1,445",799,0,83,
Tyringham,74,51,0,11,
Upton,712,655,1,103,
Uxbridge,"1,590","1,079",0,122,
Wakefield,"4,439","4,033",0,530,
Wales,159,148,0,23,
Walpole,"2,893","3,466",1,303,
Waltham,"8,033","6,586",1,"1,564",
Ware,"1,854",789,0,119,
Wareham,"2,332","2,524",0,224,
Warren,741,404,0,64,
Warwick,94,102,0,22,
Washington,91,65,0,21,
Watertown,"7,376","4,518",1,"1,039",
Wayland,"2,189","2,551",0,334,
Webster,"2,453","1,366",0,281,
Wellesley,"3,626","6,160",1,628,
Wellfleet,598,565,1,77,
Wendell,152,62,0,34,
Wenham,398,806,0,52,
W. Boylston,933,"1,315",0,64,
W. Bridgewater,897,"1,267",0,117,
W. Brookfield,498,510,0,60,
W. Newbury,505,668,0,53,
W. Springfield,"3,712","3,028",0,563,
W. Stockbridge,234,191,54,5,
W. Tisbury,378,202,0,64,
Westborough,"1,625","2,357",0,220,
Westfield,"5,104","3,986",3,697,
Westford,"2,813","2,198",1,191,
Westhampton,204,242,0,34,
Westminster,908,899,0,77,
Weston,"1,481","2,453",1,369,
Westport,"1,993","2,596",0,315,
Westwood,"1,870","3,341",0,227,
Weymouth,"8,282","7,426",0,"1,324",
Whately,310,235,0,42,
Whitman,"1,761","1,723",0,276,
Wilbraham,"1,916","2,381",0,322,
Williamsburg,450,343,0,58,
Williamstown,"1,582",999,0,225,
Wilmington,"2,864","2,123",0,272,
Winchendon,753,570,0,153,
Winchester,"3,858","4,261",0,587,
Windsor,124,115,0,21,
Winthrop,"3,035","2,487",0,554,
Woburn,"6,120","4,549",0,701,
Worcester,"25,610","15,198",0,"2,597",
Worthington,162,162,0,23,
Wrentham,911,"1,206",0,196,
Yarmouth,"3,085","4,677",0,615,
