City/Town,Democratic,All Others,Blanks
Abington,"4,319",15,"1,535"
Acton,"6,625",89,"2,235"
Acushnet,"2,939",13,803
Adams,"2,134",7,540
Agawam,"6,581",4,"3,211"
Alford,156,0,62
Amesbury,"3,945",38,"1,640"
Amherst,"6,187",29,"1,847"
Andover,"9,357",68,"4,313"
Aquinnah,160,1,31
Arlington,"15,644",172,"4,745"
Ashburnham,"1,734",0,572
Ashby,904,5,322
Ashfield,591,2,205
Ashland,"4,766",68,"1,591"
Athol,"2,358",21,725
Attleboro,"8,448",107,"3,168"
Auburn,"4,794",17,"1,921"
Avon,"1,389",13,515
Ayer,"1,735",0,549
Barnstable,"14,240",136,"5,718"
Barre,"1,443",8,560
Becket,357,2,139
Bedford,"3,963",0,"1,432"
Belchertown,"3,191",13,"1,268"
Bellingham,"4,243",16,"1,519"
Belmont,"8,719",82,"3,179"
Berkley,"1,438",21,599
Berlin,848,0,378
Bernardston,558,0,214
Beverly,"11,024",0,"4,507"
Billerica,"9,965",162,"3,235"
Blackstone,"2,267",9,677
Blandford,292,0,158
Bolton,"1,416",9,658
Boston,"100,130",11,"53,276"
Bourne,"5,029",50,"2,274"
Boxborough,"1,457",1,619
Boxford,"2,415",43,"1,408"
Boylston,"1,284",22,646
Braintree,"10,616",96,"4,168"
Brewster,"3,641",0,"1,362"
Bridgewater,"5,623",52,"2,489"
Brimfield,920,5,382
Brockton,"16,786",51,"5,082"
Brookfield,869,6,322
Brookline,"15,437",85,"4,845"
Buckland,572,2,169
Burlington,"6,967",82,"2,315"
Cambridge,"25,065",273,"7,107"
Canton,"6,537",29,"2,449"
Carlisle,"1,778",0,783
Carver,"3,084",47,"1,053"
Charlemont,299,1,111
Charlton,"2,703",12,"1,144"
Chatham,"2,650",29,"1,262"
Chelmsford,"10,805",20,"4,165"
Chelsea,"4,348",7,"1,437"
Cheshire,927,1,246
Chester,319,0,142
Chesterfield,332,0,128
Chicopee,"13,209",159,"3,578"
Chilmark,448,3,143
Clarksburg,409,0,125
Clinton,"3,443",40,"1,035"
Cohasset,"2,443",32,"1,265"
Colrain,445,0,140
Concord,"6,001",34,"2,410"
Conway,672,0,245
Cummington,277,0,80
Dalton,"1,740",1,531
Danvers,"7,393",59,"2,967"
Dartmouth,"7,050",41,"2,865"
Dedham,"7,499",74,"2,896"
Deerfield,"1,789",1,492
Dennis,"5,726",0,"2,108"
Dighton,"1,481",13,677
