City/Town,Republican,Democratic,All Others,Blanks
Abington,"3,238","2,360",228,43
Acton,"4,582","3,677",617,73
Acushnet,"1,272","2,270",160,53
Adams,761,"1,758",114,48
Agawam,"5,403","3,862",444,87
Alford,74,120,20,4
Amesbury,"3,131","2,099",353,40
Amherst,"1,462","5,722",822,57
Andover,"8,628","4,382",666,62
Aquinnah,37,130,23,2
Arlington,"7,992","10,939",1455,175
Ashburnham,"1,265",837,182,22
Ashby,743,372,107,9
Ashfield,228,480,88,2
Ashland,"3,737","2,299",330,59
Athol,"1,644","1,254",179,27
Attleboro,"6,835","4,291",535,62
Auburn,"3,746","2,606",315,65
Avon,"1,071",744,83,19
Ayer,"1,250",824,175,35
Barnstable,"11,756","7,270",913,155
Barre,"1,055",798,142,16
Becket,178,278,36,6
Bedford,"2,961","2,123",282,29
Belchertown,"2,028","2,141",272,31
Bellingham,"3,264","2,154",298,62
Belmont,"6,337","4,934",631,78
Berkley,"1,150",766,117,25
Berlin,744,374,98,10
Bernardston,336,375,55,6
Beverly,"8,513","6,045",796,177
Billerica,"7,750","4,786",723,103
Blackstone,"1,637","1,107",155,54
Blandford,239,180,28,3
Bolton,"1,274",652,149,8
Boston,"48,785","92,309",8535,"3,788"
Bourne,"4,339","2,625",329,60
Boxborough,"1,165",746,159,7
Boxford,"2,768",947,139,12
Boylston,"1,206",614,119,13
Braintree,"8,073","6,130",534,143
Brewster,"2,765","1,855",331,52
Bridgewater,"4,768","2,987",346,63
Brimfield,761,461,77,8
Brockton,"10,051","10,600",972,296
Brookfield,668,426,83,20
Brookline,"6,437","12,457",1289,184
Buckland,263,371,101,8
Burlington,"5,400","3,458",421,85
Cambridge,"7,117","22,061",2933,334
Canton,"5,163","3,419",371,62
Carlisle,"1,409",955,187,10
Carver,"2,445","1,501",202,36
Charlemont,140,207,62,2
Charlton,"2,444","1,175",216,24
Chatham,"2,378","1,334",187,42
Chelmsford,"9,027","5,040",781,142
Chelsea,"1,984","3,287",313,208
Cheshire,407,717,40,10
Chester,240,173,44,4
Chesterfield,210,201,48,1
Chicopee,"7,592","8,453",738,163
Chilmark,238,313,34,9
Clarksburg,191,321,16,6
Clinton,"2,310","1,891",256,61
Cohasset,"2,497","1,106",127,10
Colrain,232,288,58,7
Concord,"4,003","3,811",597,34
Conway,266,547,103,1
Cummington,95,226,35,1
Dalton,860,"1,294",90,28
Danvers,"6,338","3,586",420,75
Dartmouth,"4,016","5,403",459,78
Dedham,"5,510","4,393",460,106
Deerfield,821,"1,296",151,14
Dennis,"4,440","2,971",353,70
Dighton,"1,135",909,108,19
Douglas,"1,725",812,160,27
Dover,"2,065",719,92,9
