City/Town,Democratic,Republican,All Others,Blanks
Abington,"2,616","2,492",800,39
Acton,"5,074","2,765",665,207
Acushnet,"2,478","1,150",324,48
Adams,"2,137",512,106,31
Agawam,"5,147","4,235",1052,122
Alford,200,48,4,4
Amesbury,"3,146","2,221",591,41
Amherst,"6,877",904,405,42
Andover,"6,395","6,154",870,66
Aquinnah,176,20,17,1
Arlington,"12,875","5,403",1758,175
Ashburnham,"1,179",937,248,12
Ashby,581,592,160,13
Ashfield,693,135,54,4
Ashland,"3,120","2,331",592,37
Athol,"1,754","1,130",360,27
Attleboro,"6,343","5,492",1065,112
Auburn,"3,648","2,157",644,45
Avon,820,730,276,21
Ayer,"1,162",956,257,20
Barnstable,"7,868","9,380",2542,132
Barre,"1,067",704,211,18
Becket,393,143,46,6
Bedford,"2,993","2,199",473,45
Belchertown,"2,993","1,646",440,22
Bellingham,"2,749","2,461",676,38
Belmont,"6,334","3,741",875,89
Berkley,"1,000",924,212,32
Berlin,561,567,138,10
Bernardston,578,254,76,9
Beverly,"7,916","6,350",1249,99
Billerica,"5,756","6,226",1624,85
Blackstone,"1,449","1,213",296,24
Blandford,221,205,55,9
Bolton,"1,036",968,180,10
Boston,"113,288","32,920",9369,"1,543"
Bourne,"3,293","3,457",957,59
Boxborough,"1,126",810,147,8
Boxford,"1,459","2,103",242,22
Boylston,986,807,177,13
Braintree,"6,356","6,289",1591,202
Brewster,"2,503","2,188",533,69
Bridgewater,"3,710","3,515",1184,68
Brimfield,655,693,117,5
Brockton,"12,573","6,236",3649,172
Brookfield,650,504,162,3
Brookline,"15,054","3,924",1077,101
Buckland,597,172,40,14
Burlington,"4,392","4,097",900,91
Cambridge,"26,378","3,895",2096,251
Canton,"4,333","3,714",883,80
Carlisle,"1,458",996,160,15
Carver,"2,002","1,785",597,62
Charlemont,368,85,40,5
Charlton,"1,971","1,938",514,23
Chatham,"1,605","1,910",378,43
Chelmsford,"6,557","6,717",1391,107
Chelsea,"3,342","1,229",381,153
Cheshire,915,334,54,15
Chester,229,175,61,1
Chesterfield,276,163,43,4
Chicopee,"9,046","5,708",1824,184
Chilmark,404,133,42,11
Clarksburg,449,145,26,12
Clinton,"2,519","1,520",486,38
Cohasset,"1,592","1,656",360,18
Colrain,446,126,51,8
Concord,"5,330","2,616",479,48
Conway,718,184,63,6
Cummington,280,88,21,4
Dalton,"1,724",591,85,23
Danvers,"4,820","4,638",990,87
Dartmouth,"6,738","3,415",763,179
Dedham,"4,874","4,111",947,112
Deerfield,"1,609",589,158,5
Dennis,"3,526","3,473",869,95
Dighton,"1,210",951,220,12
Douglas,"1,210","1,290",329,8
Dover,"1,130","1,459",145,15
Dracut,"4,319","4,811",1127,106
Dudley,"1,723","1,330",361,22
Dunstable,536,694,123,9
Duxbury,"3,135","3,509",519,28
E. Bridgewater,"2,051","2,235",744,49
E. Brookfield,360,385,77,1
E. Longmeadow,"2,754","2,894",443,46
Eastham,"1,592","1,151",300,25
Easthampton,"4,099","1,701",514,42
Easton,"3,879","3,832",1091,76
Edgartown,927,624,184,15
Egremont,515,115,24,5
Erving,352,131,47,6
Essex,799,761,164,12
Everett,"5,235","3,279",1111,189
Fairhaven,"3,882","1,680",485,61
Fall River,"14,845","4,866",1449,578
Falmouth,"7,887","5,815",1541,85
Fitchburg,"5,770","3,421",1110,115
Florida,181,72,9,6
Foxborough,"3,124","3,072",688,74
Framingham,"11,441","6,843",1856,174
Franklin,"5,272","5,202",1003,71
Freetown,"1,675","1,230",321,45
Gardner,"3,625","1,857",639,42
Georgetown,"1,478","1,593",310,23
Gill,459,140,64,5
Gloucester,"6,498","4,272",1075,206
Goshen,275,125,37,2
Gosnold,31,26,2,0
Grafton,"3,154","2,592",540,33
Granby,"1,348",993,237,17
Granville,241,304,50,8
Great Barrington,"2,258",456,98,42
Greenfield,"4,585","1,346",463,72
Groton,"2,180","1,955",389,58
Groveland,"1,260","1,356",277,21
Hadley,"1,535",621,184,16
Halifax,"1,278","1,276",464,16
Hamilton,"1,638","1,663",260,26
Hampden,943,"1,092",199,11
Hancock,170,81,9,2
Hanover,"2,456","3,079",672,51
Hanson,"1,718","1,846",491,49
Hardwick,568,380,135,6
Harvard,"1,644",963,197,46
Harwich,"2,913","2,813",730,101
Hatfield,"1,030",480,159,23
Haverhill,"9,015","7,222",1742,197
Hawley,89,34,8,2
Heath,258,41,34,5
Hingham,"4,668","4,555",865,163
Hinsdale,459,183,33,13
Holbrook,"1,840","1,702",558,40
Holden,"4,055","3,334",614,61
Holland,370,402,87,13
Holliston,"3,224","2,573",599,82
Holyoke,"6,752","2,716",894,124
Hopedale,"1,212","1,104",269,32
Hopkinton,"2,768","2,718",505,29
Hubbardston,837,809,254,23
Hudson,"3,505","2,673",712,83
Hull,"2,404","1,496",572,34
Huntington,390,265,92,3
Ipswich,"3,148","2,590",514,30
Kingston,"2,285","2,205",532,47
Lakeville,"1,568","1,986",490,42
Lancaster,"1,170","1,175",282,22
Lanesborough,800,234,36,5
Lawrence,"7,911","2,876",706,"1,274"
Lee,"1,579",427,103,26
Leicester,"2,116","1,417",468,43
Lenox,"1,821",496,79,29
Leominster,"7,033","5,086",1256,121
Leverett,775,129,39,3
Lexington,"9,097","4,063",902,84
Leyden,247,69,35,1
Lincoln,"1,821",757,172,14
Littleton,"1,929","1,585",343,25
Longmeadow,"3,847","3,015",437,57
Lowell,"11,626","7,217",2219,286
Ludlow,"3,607","2,637",614,90
Lunenburg,"2,002","1,869",419,10
Lynn,"12,309","5,849",2304,202
Lynnfield,"1,968","2,919",426,59
Malden,"8,207","4,323",1448,161
Manchester-by-the-Sea,"1,315","1,184",181,8
Mansfield,"3,766","3,690",753,99
Marblehead,"5,165","4,032",625,41
Marion,"1,234",981,224,26
Marlborough,"5,825","4,675",1186,176
Marshfield,"4,767","4,770",1163,74
Mashpee,"2,664","2,717",567,205
Mattapoisett,"1,660","1,223",230,44
Maynard,"2,543","1,455",473,22
Medfield,"2,599","2,562",413,67
Medford,"11,246","6,259",1914,265
Medway,"2,430","2,267",495,24
Melrose,"6,247","4,517",1117,98
Mendon,991,"1,146",246,22
Merrimac,"1,320","1,068",263,12
Methuen,"6,466","6,505",1235,144
Middleborough,"3,192","3,304",1068,76
Middlefield,133,72,10,1
Middleton,"1,380","1,688",391,25
Milford,"4,456","3,486",853,182
Millbury,"2,458","1,639",485,43
Millis,"1,691","1,496",352,32
Millville,429,426,117,6
Milton,"7,543","4,321",856,117
Monroe,25,16,0,1
Monson,"1,558","1,211",317,19
Montague,"2,293",588,264,39
Monterey,335,81,20,9
Montgomery,148,162,48,3
Mount Washington,54,19,4,2
Nahant,952,679,217,26
Nantucket,"2,244","1,402",348,38
Natick,"7,554","4,705",1228,214
Needham,"8,089","4,777",928,89
New Ashford,67,21,6,1
New Bedford,"16,704","5,142",1733,521
New Braintree,236,150,49,1
New Marlborough,431,149,30,9
New Salem,312,123,37,3
Newbury,"1,657","1,347",343,25
Newburyport,"4,706","2,784",648,57
Newton,"23,556","7,937",2132,193
Norfolk,"1,622","2,032",351,27
N. Adams,"3,100",640,141,90
N. Andover,"4,767","5,059",718,74
N. Attleborough,"3,984","4,411",931,131
N. Brookfield,808,760,214,13
N. Reading,"2,575","2,995",592,49
Northampton,"9,419","1,795",756,86
Northborough,"3,025","2,550",541,55
Northbridge,"2,312","2,334",545,41
Northfield,881,308,103,11
Norton,"2,822","2,599",621,51
Norwell,"2,040","2,415",440,26
Norwood,"5,309","4,610",1170,150
Oak Bluffs,"1,210",568,153,20
Oakham,365,357,93,4
Orange,"1,292",809,218,10
Orleans,"1,784","1,662",326,38
Otis,353,158,36,6
Oxford,"2,326","1,781",533,28
Palmer,"2,138","1,726",375,39
Paxton,"1,086",755,154,25
Peabody,"10,033","7,989",2186,250
Pelham,585,83,42,5
Pembroke,"3,097","3,161",841,59
Pepperell,"1,925","2,174",408,22
Peru,170,69,16,2
Petersham,353,242,53,5
Phillipston,333,253,96,9
Pittsfield,"10,826","2,849",505,187
Plainfield,175,73,22,15
Plainville,"1,297","1,327",327,29
Plymouth,"10,012","8,630",2455,134
Plympton,562,600,171,11
Princeton,832,743,141,11
Provincetown,"1,571",248,125,12
